Date,gold,oil,dxy,sp500,gold_tomorrow,target,gold_ret,oil_ret,dxy_ret,sp_ret
2021-01-05,1954.4,50.01,89.409,3726.9,1908.6,0,0.004006986540635138,0.04711055276381915,-0.0048528020479714495,0.007106955628817024
2021-01-06,1908.6,50.69,89.502,3748.1,1913.6,1,-0.023434302087597336,0.01359728054389131,0.0010401637419050758,0.005688373715420303
2021-01-07,1913.6,50.87,89.791,3803.8,1835.4,0,0.0026197212616576593,0.0035509962517261684,0.003228978123393844,0.014860862837170918
2021-01-08,1835.4,52.26,90.068,3824.7,1850.8,1,-0.04086538461538447,0.027324552781600175,0.0030849416979430444,0.005494505494505475
2021-01-11,1850.8,52.27,90.442,3799.6,1844.2,0,0.008390541571319465,0.00019135093761968314,0.00415241817293599,-0.0065626062174810595
2021-01-12,1844.2,53.24,90.064,3801.2,1854.9,1,-0.003566025502485415,0.018557489955997708,-0.004179474138121697,0.00042109695757441834
2021-01-13,1854.9,52.96,90.334,3809.8,1851.4,0,0.00580197375555791,-0.005259203606311047,0.002997868182625707,0.002262443438914019
2021-01-14,1851.4,53.62,90.215,3795.5,1829.9,0,-0.0018868941721925658,0.012462235649546738,-0.0013173334514136048,-0.003753477872854294
2021-01-15,1829.9,52.42,90.754,3768.3,1840.2,1,-0.01161283353138165,-0.02237970906378206,0.005974616194646121,-0.007166381240943154
2021-01-18,1840.2,52.36,90.754,3773.1,1840.2,0,0.005628722881031667,-0.0011446012972148312,0.0,0.0012737839344001411
2021-01-19,1840.2,52.98,90.476,3798.9,1866.5,1,0.0,0.011841100076394051,-0.0030632258633228604,0.006837878667408814
2021-01-20,1866.5,53.31,90.469,3851.9,1865.9,0,0.014291924790783561,0.006228765571913986,-7.736858393392332e-05,0.013951406986232762
2021-01-21,1865.9,53.05,90.127,3853.1,1856.2,0,-0.00032145727297072657,-0.004877133746013951,-0.0037803004344029167,0.0003115345673563308
2021-01-22,1856.2,52.19,90.212,3841.5,1855.2,0,-0.005198563695803626,-0.01621112158341187,0.0009431136063555723,-0.003010562923360438
